id,lang,title_en,title_lang,version,adp_aud,adp_subaud,author_org,author_here,genre_org,year_org,year_here,publisher,diff_lang,adp_is_transl,nb_tokens
116,el,Cinderella,Η Σταχτοπούτα,original,---,---,Brothers Grimm,---,fairy tale,1812,---,paidika-paramythia.gr,yes,---,3.06
117,el,Cinderella,Η Σταχτοπούτα,adapted,children,3,Brothers Grimm,Rania Tziampiri,---,1812,2022,Ekdoseis Tziampiris–Pyramida,yes,yes,0.24
118,el,Daedalus and Icarus,Δαίδαλος και Ίκαρος,original,---,---,Ovid,Andreas Papageorgiou; Georgios Papafotiou,myth,c.~8,1875,Anestis Konstantinidis,yes,---,1.29
119,el,Daedalus and Icarus,Δαίδαλος και Ίκαρος,adapted,children,4,Ovid,Filippos Mandilaras,---,c.~8,2009,Ekdoseis Papadopoulos,yes,no,0.71
120,el,Daedalus and Icarus,Δαίδαλος και Ίκαρος,adapted,children,6,Ovid,Vito Angelopoulou,---,c.~8,2000,Ekdoseis Ankyra,yes,yes,0.68
121,el,The Good Samaritan,Ο καλός Σαμαρείτης,original,---,---,Gospel of Luke,---,parable,c.~80--90,1997,Hellenic Bible Society,yes,---,0.29
122,el,The Good Samaritan,Ο καλός Σαμαρείτης,adapted,children,6,Gospel of Luke,Loti Petrovich-Androutsopoulou,---,c.~80--90,1991,Ekdoseis pataki,yes,no,0.53
123,el,The Odyssey,Οδύσσεια,original,---,---,Homer,Nikos Kazantzakis; Ioannis Th. Kakridis,epic poem,c. 730 BC,2011,Vivliopoleion tis Estias,yes,---,117.50
124,el,The Odyssey,Οδύσσεια,adapted,children,7,Homer,Sokratis Sarantidis,---,c. 730 BC,---,K.M. Ekdotiki,yes,no,5.30
125,el,The Odyssey,Οι Περιπέτειες του Οδυσσέα,adapted,children,6,Homer,Vito Angelopoulou,---,c. 730 BC,2000,Ekdoseis Ankyra,yes,yes,4.00
126,el,Peter Pan,Πίτερ Παν και Γουέντυ,original,---,---,J. M. Barrie,Regina Chatzchout,novel,1911,2015,Ekdoseis Pataki,yes,---,46.88
127,el,Peter Pan,Πήτερ Παν,adapted,children,3,J. M. Barrie,Tatiana Galatoula,---,1911,1999,Modern Times,yes,yes,1.56
128,el,Peter Pan,Πήτερ Παν,adapted,children,3,J. M. Barrie,---,---,1911,2015,Ekdoseis Tziampiris–Pyramida,yes,no,0.26
129,el,The Prodigal Son,Ο άσωτος γιος,original,---,---,Gospel of Luke,---,parable,c.~80--90,1997,Hellenic Bible Society,yes,---,0.43
130,el,The Prodigal Son,Ο άμυαλος γιος,adapted,children,6,Gospel of Luke,Loti Petrovich-Androutsopoulou,---,c.~80--90,1991,Ekdoseis pataki,yes,no,0.87
131,el,Puss in Boots,Ο Παπουτσωμένος Γάτος,original,---,---,Charles Perrault,---,fairy tale,1697,---,paidika-paramythia.gr,yes,---,1.15
132,el,Puss in Boots,Ο Παπουτσωμένος Γάτος,adapted,children,---,Charles Perrault,Eirini Marra,---,1697,1988,Ekdoseis Kedros,yes,yes,1.26
133,el,The Rich Fool,Ο άφρων πλούσιος,original,---,---,Gospel of Luke,---,parable,c.~80--90,1997,Hellenic Bible Society,yes,---,0.18
134,el,The Rich Fool,Ο άπληστος πλούσιος,adapted,children,6,Gospel of Luke,Loti Petrovich-Androutsopoulou,---,c.~80--90,1991,Ekdoseis pataki,yes,no,0.46
135,el,Robinson Crusoe,Ροβινσόνας Κρούσος,original,---,---,Daniel Defoe,Giorgos Barouxis,novel,1719,2023,Ekdoseis Metaichmio,yes,---,111.91
136,el,Robinson Crusoe,Ροβινσόνας Κρούσος,adapted,children,5,Daniel Defoe,Matina Karali,---,1719,2002,Ekdoseis Kedros,yes,no,2.38
137,el,Snow White,Η Χιονάτη και οι επτά νάνοι,original,---,---,Brothers Grimm,---,fairy tale,1812,---,childstories.org,yes,---,2.25
138,el,Snow White,Η Χιονάτη,adapted,children,3,Brothers Grimm,---,---,1812,2015,Ekdoseis Tziampiris–Pyramida,yes,no,0.28
139,el,Tartuffe,Ο Ταρτούφος,original,---,---,Molière,Konstantinos Kokkinakis,play,1669,1815,Ioannis Vartholomaios Svikios,yes,---,18.20
140,el,Tartuffe,Ο Ταρτούφος,adapted,children,9,Molière,Argyro Pipini,---,1664,2015,Ekdoseis Papadopoulos,yes,no,4.57
141,el,The Tax Collector and the Pharisee,Ο τελώνης και ο φαρισαίος,original,---,---,Gospel of Luke,---,parable,c.~80--90,1997,Hellenic Bible Society,yes,---,0.15
142,el,The Tax Collector and the Pharisee,Ο τελώνης και ο φαρισαίος,adapted,children,6,Gospel of Luke,Loti Petrovich-Androutsopoulou,---,c.~80--90,1991,Ekdoseis Pataki,yes,no,0.42
