id,lang,title_en,title_lang,version,adp_aud,adp_subaud,author_org,author_here,genre_org,year_org,year_here,publisher,diff_lang,adp_is_transl,nb_tokens
001,en,The Adventures of Pinocchio,The Adventures of Pinocchio,original,---,---,Carlo Collodi,Carol Della Chiesa,novel,1883,1925,The Macmillan Company,yes,---,40.48
002,en,The Adventures of Pinocchio,Pinocchio,adapted,children,---,Carlo Collodi,---,---,1883,2022,Think Digital Academy,yes,no,2.32
003,en,The Adventures of Pinocchio,Pinocchio,adapted,children,---,Carlo Collodi,Bharathi Dhanasekar,---,1883,2020,Short Stories for Kids,yes,no,0.67
004,en,The Adventures of Pinocchio,The Adventures of Pinocchio,adapted,FL,A1,Carlo Collodi,Joanne Swan,---,1883,2004,New Editions English Language Teaching,yes,no,1.14
005,en,The Adventures of Pinocchio,Pinocchio,adapted,FL,A1,Carlo Collodi,Gill Munton,---,1883,2010,Macmillan: English Explorers,yes,no,6.46
006,en,The Adventures of Pinocchio,Pinocchio,adapted,FL,A1,Carlo Collodi,Sue Arengo,---,1883,2009,Oxford UP: Family and Friends,yes,no,2.75
007,en,The Adventures of Pinocchio,The Adventures of Pinocchio,adapted,LD,---,Carlo Collodi,Gemma Barder,---,1883,2024,Every Cherry Publishing,yes,no,3.54
008,en,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,original,---,---,Mark Twain,---,novel,1876,---,American Publishing Company,no,---,73.02
009,en,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,adapted,FL,---,Mark Twain,---,---,1876,2006,Global Publishing Solutions,no,no,27.68
010,en,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,adapted,FL,A1,Mark Twain,Jacqueline Kehl,---,1876,2000,Pearson: Penguin Readers,no,no,4.28
011,en,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,adapted,FL,A1,Mark Twain,Paul Fisher Johnson,---,1876,1998,Oxford UP: Oxford Bookworms,no,no,6.31
012,en,Alice's Adventures in Wonderland,Alice's Adventures in Wonderland,original,---,---,Lewis Carroll,---,novel,1865,---,Macmillan and Co.,no,---,27.29
013,en,Alice's Adventures in Wonderland,The Nursery ``Alice'',adapted,children,0,Lewis Carroll,Lewis Carroll,---,1865,1890,Macmillan and Co.,no,no,7.14
014,en,Alice's Adventures in Wonderland,Alice's Adventures in Wonderland,adapted,FL,B1,Lewis Carroll,Jennifer Bassett,---,1865,2000,Oxford UP: Oxford Bookworms,no,no,7.24
015,en,Alice's Adventures in Wonderland,Alice's Adventures in Wonderland,adapted,LD,---,Lewis Carroll,Gemma Barder,---,1865,2024,Every Cherry Publishing,no,no,5.29
016,en,Anna Karenina,Anna Karenina,original,---,---,Leo Tolstoy,Constance Garnett,novel,1878,1901,William Heinemann,yes,---,358.38
017,en,Anna Karenina,Anna Karenina,adapted,FL,C1,Leo Tolstoy,Anne Collins,---,1878,2000,Pearson: Penguin Readers,yes,no,34.05
018,en,A Christmas Carol,A Christmas Carol,original,---,---,Charles Dickens,---,novel,1843,---,Chapman and Hall,no,---,29.21
019,en,A Christmas Carol,A Christmas Carol,adapted,FL,A1,Charles Dickens,Margaret Naudi,---,1843,1987,Bordas: Easy English Stories,no,no,2.96
020,en,Cinderella,Cinderella,original,---,---,Charles Perrault,---,fairy tale,1697,---,Charles Scribner's Sons,yes,---,2.43
021,en,Cinderella,Cinderella,adapted,children,---,Charles Perrault,Charles Welsh,---,1697,1901,D. C. Heath & Co.,yes,no,0.58
022,en,Crime and Punishment,Crime and Punishment,original,---,---,Fyodor Dostoevsky,Constance Garnett,novel,1867,1914,William Heinemann,yes,---,207.87
023,en,Crime and Punishment,Crime and Punishment,adapted,FL,A1,Fyodor Dostoevsky,Nancy Taylor,---,1867,2006,Pearson: Penguin Readers,yes,no,33.42
024,en,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,original,---,---,Miguel de Cervantes,John Ormsby,novel,1615,1885,"Smith, Elder & Co.",yes,---,409.02
025,en,Don Quixote,The Adventures of Don Quixote de la Mancha,adapted,children,---,Miguel de Cervantes,M. Jones,---,1615,1895,George Routledge and Sons,yes,no,146.36
026,en,Don Quixote,The Adventures of Don Quixote de la Mancha,adapted,children,---,Miguel de Cervantes,Emily Underdown,---,1615,1910,Thomas Nelson and Sons,yes,no,23.57
027,en,Don Quixote,Adventures of Don Quixote,adapted,children,---,Miguel de Cervantes,Argentina Palacios,---,1615,1999,Dover Publications,yes,no,15.10
028,en,Frankenstein,Frankenstein,original,---,---,Mary Shelley,---,novel,1818,---,---,no,---,75.32
029,en,Frankenstein,Frankenstein,adapted,FL,B2,Mary Shelley,Maud Jackson,---,1818,2003,CIDEB / Black Cat,no,no,13.06
030,en,The Great Gatsby,The Great Gatsby,original,---,---,F. Scott Fitzgerald,---,novel,1925,---,Charles Scribner's Sons,no,---,49.86
031,en,The Great Gatsby,The Great Gatsby,adapted,FL,C1,F. Scott Fitzgerald,Richard Larkham,---,1925,2011,ELI s.r.l.,no,no,22.38
032,en,Gulliver's Travels,Travels into Several Remote Nations of the World,original,---,---,Jonathan Swift,---,novel,1726,---,Benjamin Motte,no,---,105.05
033,en,Gulliver's Travels,Gulliver's Travels: Adapted for the Young,adapted,children,---,Jonathan Swift,---,---,1726,1895,George Routledge and Sons,no,no,102.36
034,en,The Hound of the Baskervilles,The Hound of the Baskervilles,original,---,---,Arthur Conan Doyle,---,novel,1902,---,George Newnes,no,---,59.88
